11-25-2015	git Version:  4ff2ea7
id	name	defn	synonyms	is_a id	is_a name
SOY:0000000	Soybean Growth and Trait Ontology V3.0 revision 1.3				
SOY:0000001	0 Germination	Growth resumption of a seed embryo.	BBCH 0: Germination EXACT; PO:0007057 0: Germination EXACT	SOY:0000097	Soybean Whole Plant Growth Stages
SOY:0000002	1 Leaf Production		PO:0007014 leaf production RELATED	SOY:0000097	Soybean Whole Plant Growth Stages
SOY:0000003	2 Axillary Shoot Formation	Axillary shoots arising from the main stem.	PO:0007073 Formation of axillary shoot RELATED	SOY:0000097	Soybean Whole Plant Growth Stages
SOY:0000004	3 Stem Elongation		PO:0007089 Stem elongation RELATED	SOY:0000097	Soybean Whole Plant Growth Stages
SOY:0000005	4 Inflorescence Formation	The stage at which a soybean plant is beginning to produce an inflorescence at an axilla.	PO:0007047 Inflorescence formation EXACT	SOY:0000097	Soybean Whole Plant Growth Stages
SOY:0000006	6 Flowering	Stage of soybean growth where flowers are beginning to develop.	PO:0007016 Flowering EXACT	SOY:0000097	Soybean Whole Plant Growth Stages
SOY:0000007	7-8 Fruit Formation and Maturation	Formation of the pod and seeds after flowering.	PO:0007035 RELATED	SOY:0000097	Soybean Whole Plant Growth Stages
SOY:0000008	9 Senescence	Beginning of the death process in a plant or plant part.	PO:0007017 Beginning of death processes in plant or plant part RELATED	SOY:0000097	Soybean Whole Plant Growth Stages
SOY:0000009	00 Dry Seed	Low moisture content mature seed.	BBCH00 000 RELATED; PO:0001040 Dry seed EXACT; PO:0007055 Dry seed RELATED	SOY:0000001	0 Germination
SOY:0000010	06 Elongation of radical and root hair formation	Radical elongates and root hairs visible.	BBCH 06 006 Elongation of radicle, formation of root hairs RELATED	SOY:0000001	0 Germination
SOY:0000011	05 Radical Emergence from Seed Coat	Radical is just visible protruding from the seed.	05 005 BBCH growth stage RELATED; PO:0007015 Radicle emergence from seed coat RELATED	SOY:0000001	0 Germination
SOY:0000012	07 Shoot Emergence	Emergence of the hypocotyl and cotyledons from the seed coat.	BCCH:07 007 Hypocotyl with cotyledons breaking through seed coat RELATED; PO:0007030 07 shoot emergence RELATED	SOY:0000001	0 Germination
SOY:0000013	0.07.01 Cotyledons and Hypocotyl Emerge	The hypocotyl and cotyledons break through the seed coat.	BCCH:07 007 Hypocotyl with cotyledons breaking through seed coat RELATED	SOY:0000012	07 Shoot Emergence
SOY:0000014	1.00 Cotyledon Visible PO:0007049, BBCH 10 100	Growth from emergence of cotyledon above the soil surface to unfurling of unifoliolate leaves. Corresponds to the VE stage.	BBCH 10 100 BROAD; Cracking Stage RELATED; VE stage RELATED	SOY:0000002	1 Leaf Production
SOY:0000015	1.01 Unifoliolate Leaves Unfolded PO:0007094, BBCH 11 101	Growth from the unfolding of the unifolate leaves until the unfurling of the first trifoliolate leaf. Corresponds to the VC stage.	BCCH:10 101 unifoliolate leaves unfolded RELATED; PO:0007094 1.01 one leaf or a pair of leaves unfolded RELATED; VC stage RELATED	SOY:0000002	1 Leaf Production
SOY:0000016	1.02 First Trifoliolate Leaf Unfolded PO:0007094, BBCH 12 102	Growth from unfolding of the first trifoliolate leaf until unfurling of the 2nd trifoliolate leaf on the main stem. Corresponds to V1 stage.	BBCH:12 102 RELATED; PO:0007098 Two pairs of leaves unfolded EXACT; V1 stage RELATED	SOY:0000002	1 Leaf Production
SOY:0000017	1.03 2nd Trifoliolate Leaf Unfolded PO:0007106, BBCH 13 103	Growth from unfolding of 2nd trifoliolate leaf to unfolding of the 3rd trifoliolate leaf on the main stem. Corresponds to V2 growth stage.	BCCH:13 103 RELATED; PO:0007106 Three leaves unfolded RELATED; V2 stage RELATED	SOY:0000002	1 Leaf Production
SOY:0000018	1.04 3rd Trifoliolate Leaf Unfolded PO:0007115, BBCH 14 104	Growth from unfolding of 3rd trifoliolate leaf to the unfolding of the 4th trifoliolate leaf on the main stem. Corresponds to stage V3.	BBCH:14 004 trifoliate leaf on 4th node RELATED; PO:0007115 Four leaves unfolded RELATED; Stage V3 RELATED	SOY:0000002	1 Leaf Production
SOY:0000019	1.05 4th Trifoliolate Leaf Unfolded PO:0007065, BBCH 15 105	Growth stage from unfolding of the 4th trifoliolate leaf to the unfolding of the 5th trifoliolate leaf on the main stem. Corresponds to stage V4.	BCCH:15 105 RELATED; PO:0007065 Five leaves unfolded EXACT; Stage V4 RELATED	SOY:0000002	1 Leaf Production
SOY:0000020	1.06 5th Trifoliolate Leaf Unfolded PO:0007123, BBCH 16 106	Growth from unfolding of the 5th trifoliolate leaf to the unfolding of the 6th trifoliolate leaf on the main stem. Corresponds to stage V5.	BCCH:16 106 RELATED; PO:0007123 Six leaves unfolded RELATED; Stage V5 EXACT	SOY:0000002	1 Leaf Production
SOY:0000021	1.07 6th Trifoliolate Leaf Unfolded PO:0007063, BBCH 17 107	Growth from unfolding of the 6th trifoliolate leaf to the unfolding of the 7th trifoliolate leaf on the main stem. Corresponds to stage V6.	BCCH:17 107 RELATED; PO:0007063 Seven leaves unfolded EXACT; Stage V6 EXACT	SOY:0000002	1 Leaf Production
SOY:0000022	1.08 7th Trifoliolate Leaf Unfolded PO:0007095, BBCH 18 108	Growth from unfolding of the 7th trifoliolate leaf until the unfolding of the 8th trifoliolate leaf on the main stem. Corresponds to stage V7.	BCCH:18 108 RELATED; PO:0007095 Eight leaves unfolded EXACT; Stage V7 EXACT	SOY:0000002	1 Leaf Production
